Year,House price,Vacant Price,Unit price,suburb,postcode,lat,lon
2020,644000,NA,457500,LANGWARRIN,3910,-38.153809,145.185851
2012,375000,233500,301000,LANGWARRIN,3910,-38.153809,145.185851
2013,385000,227000,307500,LANGWARRIN,3910,-38.153809,145.185851
2010,395000,230000,292500,LANGWARRIN,3910,-38.153809,145.185851
2011,387500,253000,310000,LANGWARRIN,3910,-38.153809,145.185851
2016,503000,371000,356500,LANGWARRIN,3910,-38.153809,145.185851
2017,600000,297500,431000,LANGWARRIN,3910,-38.153809,145.185851
2014,420000,246000,310000,LANGWARRIN,3910,-38.153809,145.185851
2015,450000,250000,316500,LANGWARRIN,3910,-38.153809,145.185851
2009,332000,245000,275000,LANGWARRIN,3910,-38.153809,145.185851
2018,642500,353500,460000,LANGWARRIN,3910,-38.153809,145.185851
2019,617500,340000,450500,LANGWARRIN,3910,-38.153809,145.185851
2020,488500,NA,,BROOKFIELD,3338,-37.701172,144.540792
2012,332000,150000,285000,BROOKFIELD,3338,-37.701172,144.540792
2013,330000,139500,270000,BROOKFIELD,3338,-37.701172,144.540792
2010,333500,123500,153500,BROOKFIELD,3338,-37.701172,144.540792
2011,341000,149500,227500,BROOKFIELD,3338,-37.701172,144.540792
2016,360000,150000,273000,BROOKFIELD,3338,-37.701172,144.540792
2017,425000,162000,335000,BROOKFIELD,3338,-37.701172,144.540792
2014,350500,130000,270000,BROOKFIELD,3338,-37.701172,144.540792
2015,340000,142000,212500,BROOKFIELD,3338,-37.701172,144.540792
2009,307500,107000,245000,BROOKFIELD,3338,-37.701172,144.540792
2018,491500,218000,400000,BROOKFIELD,3338,-37.701172,144.540792
2019,445000,235000,455000,BROOKFIELD,3338,-37.701172,144.540792
2020,335000,165000,258000,EAGLEHAWK,3556,-36.717864,144.252541
2012,260000,112000,218000,EAGLEHAWK,3556,-36.717864,144.252541
2013,264000,105500,230000,EAGLEHAWK,3556,-36.717864,144.252541
2010,226000,78000,207000,EAGLEHAWK,3556,-36.717864,144.252541
2011,240000,105000,225000,EAGLEHAWK,3556,-36.717864,144.252541
2016,270000,108000,220000,EAGLEHAWK,3556,-36.717864,144.252541
2017,295000,100000,228000,EAGLEHAWK,3556,-36.717864,144.252541
2014,274000,109500,235000,EAGLEHAWK,3556,-36.717864,144.252541
2015,283000,115000,237500,EAGLEHAWK,3556,-36.717864,144.252541
2009,215000,71500,183500,EAGLEHAWK,3556,-36.717864,144.252541
2018,315000,102000,225000,EAGLEHAWK,3556,-36.717864,144.252541
2019,321500,114000,242000,EAGLEHAWK,3556,-36.717864,144.252541
2020,505000,300000,325000,BALLAN,3342,-37.60016,144.225458
2012,305000,120000,306500,BALLAN,3342,-37.60016,144.225458
2013,352000,122500,330000,BALLAN,3342,-37.60016,144.225458
2010,260000,99500,217000,BALLAN,3342,-37.60016,144.225458
2011,310000,133500,283000,BALLAN,3342,-37.60016,144.225458
2016,370000,135000,320000,BALLAN,3342,-37.60016,144.225458
2017,417000,140000,340000,BALLAN,3342,-37.60016,144.225458
